زمان: 2026-09-21 20:03:13 | اجرا: 32 | کار: android | وضعیت: کتابخانهٔ اندروید ساخته شد
زمان: 2026-09-21 20:11:04 | اجرا: 32 | کار: android | وضعیت: فایل اندروید ساخته شد
زمان: 2026-09-21 20:31:17 | اجرا: 31 | کار: ping | وضعیت: آزمون اجرای ساخت
زمان: 2026-09-21 20:31:20 | اجرا: 55 | کار: bridge | وضعیت: آغاز کار پل
زمان: 2026-09-21 20:33:52 | اجرا: 55 | کار: bridge | وضعیت: پل فلاتر و راست ساخته شد
زمان: 2026-09-21 20:34:20 | اجرا: 55 | کار: windows | وضعیت: فایل‌های مخزن گرفته شد
زمان: 2026-09-21 20:34:26 | اجرا: 55 | کار: windows | وضعیت: سورس راست‌دسک گرفته شد
زمان: 2026-09-21 20:35:07 | اجرا: 55 | کار: windows | وضعیت: فایل‌های پل منتقل شد
زمان: 2026-09-21 20:39:37 | اجرا: 55 | کار: windows | وضعیت: ابزارهای ساخت نصب شد
زمان: 2026-09-21 20:39:43 | اجرا: 55 | کار: windows | وضعیت: کتابخانه‌های تصویر و صدا نصب شد
زمان: 2026-09-21 20:41:02 | اجرا: 55 | کار: windows | وضعیت: موتور فلاتر آماده شد
زمان: 2026-09-21 20:41:23 | اجرا: 55 | کار: windows | وضعیت: آیکون‌ها ساخته شد
زمان: 2026-09-21 20:41:27 | اجرا: 55 | کار: windows | وضعیت: برند روی سورس اعمال شد
زمان: 2026-09-21 20:41:31 | اجرا: 55 | کار: windows | وضعیت: رابط کاربری فارسی و بازطراحی شد
زمان: 2026-09-21 20:41:57 | اجرا: 55 | کار: windows | وضعیت: هویت بصری موسسه روی سورس اعمال شد
زمان: 2026-09-21 20:59:46 | اجرا: 55 | کار: windows | وضعیت: کامپایل برنامه به پایان رسید
زمان: 2026-09-22 07:50:28 | اجرا: 56 | کار: bridge | وضعیت: آغاز کار پل
زمان: 2026-09-22 07:53:12 | اجرا: 56 | کار: bridge | وضعیت: پل فلاتر و راست ساخته شد
زمان: 2026-09-22 07:53:36 | اجرا: 56 | کار: windows | وضعیت: فایل‌های مخزن گرفته شد
زمان: 2026-09-22 07:53:40 | اجرا: 56 | کار: windows | وضعیت: سورس راست‌دسک گرفته شد
زمان: 2026-09-22 07:54:16 | اجرا: 56 | کار: windows | وضعیت: فایل‌های پل منتقل شد
زمان: 2026-09-22 07:56:32 | اجرا: 56 | کار: windows | وضعیت: ابزارهای ساخت نصب شد
زمان: 2026-09-22 07:56:36 | اجرا: 56 | کار: windows | وضعیت: کتابخانه‌های تصویر و صدا نصب شد
زمان: 2026-09-22 07:57:16 | اجرا: 56 | کار: windows | وضعیت: موتور فلاتر آماده شد
زمان: 2026-09-22 07:57:29 | اجرا: 56 | کار: windows | وضعیت: آیکون‌ها ساخته شد
